run_idx	sib_mortality	maternal_age_effect	mat_mortality	attenuation_cutoff	if_epi	if_invasion	k_s	x0_s	L_s	max_age	maternal_age_effect_quadratic_term	maternal_age_effect_vertex_x	epi_h	status	stop_reason	final_year	menopause_age_report	menopause_age_mean	dominant_allele	dominant_allele_frequency
146	1	0	0	0.0	0	False	0.15	5.0	1.5	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.68146861910395	-21	0.09727969484475166
147	1	0	0	0.0	0	False	0.15	5.0	2.0	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.483671545237	-24	0.12843975354463344
148	1	0	0	0.0	0	False	0.15	5.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.75194215601975	-22	0.14208088322411033
149	1	0	0	0.0	0	False	0.15	5.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.365731166994856	-23	0.15847203760250744
150	1	0	0	0.0	0	False	0.2	3.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.663747867252255	-23	0.10645298422086782
151	1	0	0	0.0	0	False	0.2	3.0	1.5	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.70669111707621	-22	0.1274489824541848
152	1	0	0	0.0	0	False	0.2	3.0	2.0	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.449593581310005	-25	0.1288302708339515
153	1	0	0	0.0	0	False	0.2	3.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.63725555258871	-22	0.12337189415043895
154	1	0	0	0.0	0	False	0.2	3.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.577559794116716	-24	0.12212241372549197
155	1	0	0	0.0	0	False	0.2	3.5	1.1	70	NA	NA	NA	failed	early_stop_failed	5150	>46	46.712868256976044	-24	0.12209143873792487
156	1	0	0	0.0	0	False	0.2	3.5	1.5	70	NA	NA	NA	failed	early_stop_failed	5000	>46	46.46975728688002	-23	0.12422075774182803
157	1	0	0	0.0	0	False	0.2	3.5	2.0	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.62579755554724	-24	0.10836027969151511
158	1	0	0	0.0	0	False	0.2	3.5	3.0	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.84204140477102	-23	0.12022065211191311
159	1	0	0	0.0	0	False	0.2	3.5	5.0	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.54910135480633	-24	0.11381566053489213
160	1	0	0	0.0	0	False	0.2	4.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.583611656215666	-21	0.10985251389196779
161	1	0	0	0.0	0	False	0.2	4.0	1.5	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.487464120930206	-21	0.11797879326227059
162	1	0	0	0.0	0	False	0.2	4.0	2.0	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.66245939585913	-23	0.11254347423617972
163	1	0	0	0.0	0	False	0.2	4.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.39570346361594	-25	0.1099208151401201
164	1	0	0	0.0	0	False	0.2	4.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4900	>46	46.54534323466371	-24	0.14403834012910338
165	1	0	0	0.0	0	False	0.2	4.5	1.1	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.88148052925748	-24	0.10356390397332145
166	1	0	0	0.0	0	False	0.2	4.5	1.5	70	NA	NA	NA	failed	early_stop_failed	5200	>46	46.5756688495095	-22	0.14460619232331295
167	1	0	0	0.0	0	False	0.2	4.5	2.0	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.70850491228622	-22	0.12912879070704877
168	1	0	0	0.0	0	False	0.2	4.5	3.0	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.607220388992076	-22	0.12255449938918281
169	1	0	0	0.0	0	False	0.2	4.5	5.0	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.91037631509553	-23	0.11631873219907024
